user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.506,25.3,20,0,11,0.55
4,Manhattan,322,0,"New York, NY",0.401,20,20,0,11,0.55
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.351,17.6,20,0,13,0.65
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.635,31.8,20,0,10,0.5
5,Newark,309,14.3,"New York, NY",0.369,18.4,20,0,10,0.5
2,Chicago North,883,19.2,"Chicago, IL",0.552,27.6,20,0,11,0.55
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.563,28.1,20,0,11,0.55
3,Chicago West,897,23.2,"Chicago, IL",0.513,25.6,20,0,12,0.6
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.506,25.3,20,0,8,0.4
