user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.327,16.3,20,0,13,0.65
4,Manhattan,322,0,"New York, NY",0.394,19.7,20,0,10,0.5
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.279,13.9,20,0,10,0.5
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.313,15.6,20,0,11,0.55
5,Newark,309,14.3,"New York, NY",0.326,16.3,20,0,10,0.5
2,Chicago North,883,19.2,"Chicago, IL",0.357,17.8,20,0,11,0.55
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.283,14.1,20,0,11,0.55
3,Chicago West,897,23.2,"Chicago, IL",0.322,16.1,20,0,13,0.65
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.3,15,20,0,10,0.5
