user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.537,26.9,20,0,11,0.55
4,Manhattan,322,0,"New York, NY",0.587,29.3,20,0,5,0.25
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.732,36.6,20,0,4,0.2
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.807,40.3,20,0,6,0.3
5,Newark,309,14.3,"New York, NY",0.978,48.9,20,0,13,0.65
2,Chicago North,883,19.2,"Chicago, IL",0.378,18.9,20,0,19,0.95
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.534,26.7,20,0,12,0.6
3,Chicago West,897,23.2,"Chicago, IL",0.678,33.9,20,0,7,0.35
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.449,22.5,20,0,13,0.65
