user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.396,19.8,20,0,17,0.85
4,Manhattan,322,0,"New York, NY",0.306,15.3,20,0,15,0.75
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.217,10.9,20,0,19,0.95
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",1.01,50.4,20,0,2,0.1
5,Newark,309,14.3,"New York, NY",0.54,27,20,0,4,0.2
2,Chicago North,883,19.2,"Chicago, IL",0.768,38.4,20,0,1,0.05
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.385,19.3,20,0,16,0.8
3,Chicago West,897,23.2,"Chicago, IL",0.334,16.7,20,0,19,0.95
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.802,40.1,20,0,0,0
