user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.484,24.2,20,0,11,0.55
4,Manhattan,322,0,"New York, NY",0.398,19.9,20,0,12,0.6
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.451,22.5,20,0,11,0.55
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.583,29.2,20,0,9,0.45
5,Newark,309,14.3,"New York, NY",0.479,24,20,0,9,0.45
2,Chicago North,883,19.2,"Chicago, IL",0.576,28.8,20,0,10,0.5
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.423,21.1,20,0,13,0.65
3,Chicago West,897,23.2,"Chicago, IL",0.48,24,20,0,12,0.6
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.465,23.2,20,0,10,0.5
