user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.311,15.5,20,0,19,0.95
4,Manhattan,322,0,"New York, NY",0.576,28.8,20,0,5,0.25
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.298,14.9,20,0,15,0.75
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.762,38.1,20,0,7,0.35
5,Newark,309,14.3,"New York, NY",0.299,15,20,0,13,0.65
2,Chicago North,883,19.2,"Chicago, IL",0.841,42,20,0,0,0
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.594,29.7,20,0,11,0.55
3,Chicago West,897,23.2,"Chicago, IL",0.318,15.9,20,0,19,0.95
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.704,35.2,20,0,4,0.2
