user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.755,37.8,20,0,3,0.15
4,Manhattan,322,0,"New York, NY",0.492,24.6,20,0,10,0.5
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.686,34.3,20,0,7,0.35
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.738,36.9,20,0,8,0.4
5,Newark,309,14.3,"New York, NY",0.51,25.5,20,0,9,0.45
2,Chicago North,883,19.2,"Chicago, IL",0.33,16.5,20,0,19,0.95
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.648,32.4,20,0,10,0.5
3,Chicago West,897,23.2,"Chicago, IL",0.397,19.8,20,0,16,0.8
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.524,26.2,20,0,12,0.6
