user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",1.25,62.4,20,0,7,0.35
4,Manhattan,322,0,"New York, NY",1.06,53.2,20,0,5,0.25
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.767,38.3,20,0,4,0.2
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.352,17.6,20,0,17,0.85
5,Newark,309,14.3,"New York, NY",0.428,21.4,20,0,14,0.7
2,Chicago North,883,19.2,"Chicago, IL",0.387,19.4,20,0,16,0.8
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",1.1,54.8,20,0,2,0.1
3,Chicago West,897,23.2,"Chicago, IL",0.44,22,20,0,15,0.75
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.555,27.7,20,0,9,0.45
