user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.624,31.2,20,0,9,0.45
4,Manhattan,322,0,"New York, NY",0.425,21.2,20,0,15,0.75
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.764,38.2,20,0,1,0.05
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.279,13.9,20,0,19,0.95
5,Newark,309,14.3,"New York, NY",0.661,33,20,0,3,0.15
2,Chicago North,883,19.2,"Chicago, IL",0.585,29.2,20,0,12,0.6
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",1.12,56,20,0,0,0
3,Chicago West,897,23.2,"Chicago, IL",0.448,22.4,20,0,16,0.8
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.231,11.5,20,0,18,0.9
