user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.413,20.6,20,0,17,0.85
4,Manhattan,322,0,"New York, NY",0.414,20.7,20,0,14,0.7
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.412,20.6,20,0,13,0.65
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",1.04,51.9,20,0,0,0
5,Newark,309,14.3,"New York, NY",0.588,29.4,20,0,4,0.2
2,Chicago North,883,19.2,"Chicago, IL",0.78,39,20,0,1,0.05
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.268,13.4,20,0,19,0.95
3,Chicago West,897,23.2,"Chicago, IL",0.38,19,20,0,19,0.95
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.667,33.4,20,0,5,0.25
