user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.095,4.7,20,0,6,0.3
4,Manhattan,322,0,"New York, NY",0.052,2.6,20,0,10,0.5
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.128,6.4,20,0,10,0.5
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.124,6.2,20,0,15,0.75
5,Newark,309,14.3,"New York, NY",0.056,2.8,20,0,9,0.45
2,Chicago North,883,19.2,"Chicago, IL",0.038,1.9,20,0,19,0.95
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.33,16.5,20,0,4,0.2
3,Chicago West,897,23.2,"Chicago, IL",0.07,3.5,20,0,12,0.6
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.155,7.7,20,0,8,0.4
