user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.575,28.8,20,0,11,0.55
4,Manhattan,322,0,"New York, NY",0.328,16.4,20,0,16,0.8
8,Houston Downtown,1.97e+03,0,"Houston, TX",0.326,16.3,20,0,14,0.7
6,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.943,47.1,20,0,5,0.25
5,Newark,309,14.3,"New York, NY",0.721,36,20,0,1,0.05
2,Chicago North,883,19.2,"Chicago, IL",0.361,18,20,0,18,0.9
7,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.503,25.2,20,0,13,0.65
3,Chicago West,897,23.2,"Chicago, IL",0.598,29.9,20,0,9,0.45
9,The Woodlands,1.94e+03,45.8,"Houston, TX",0.668,33.4,20,0,5,0.25
