user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",6.05,0,202,30,0,22,0.733
7,Manhattan,322,0,"New York, NY",0.025,0,1.2,20,0,9,0.45
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.124,0,6.2,20,0,8,0.4
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.189,0,9.5,20,0,10,0.5
5,Chicago East,874,1.8,"Chicago, IL",6.08,0,203,30,0,21,0.7
8,Newark,309,14.3,"New York, NY",0.024,0,1.2,20,0,10,0.5
4,Chicago South,873,16.8,"Chicago, IL",5.87,0,196,30,0,21,0.7
2,Chicago North,883,19.2,"Chicago, IL",6.06,0,202,30,0,20,0.667
6,Chicago Suburb,890,21.4,"Chicago, IL",5.28,0,176,30,0,18,0.6
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.191,0,9.6,20,0,10,0.5
3,Chicago West,897,23.2,"Chicago, IL",6.11,0,204,30,0,18,0.6
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.129,0,6.4,20,0,8,0.4
