user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.09,0,1.8,50,0,33,0.66
7,Manhattan,322,0,"New York, NY",0.026,0,1.3,20,0,8,0.4
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.104,0,5.2,20,0,10,0.5
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.152,0,7.6,20,0,12,0.6
5,Chicago East,874,1.8,"Chicago, IL",0.114,0.018,2.3,50,0,32,0.64
8,Newark,309,14.3,"New York, NY",0.024,0,1.2,20,0,10,0.5
4,Chicago South,873,16.8,"Chicago, IL",0.089,0,1.8,50,0,34,0.68
2,Chicago North,883,19.2,"Chicago, IL",0.082,0,1.6,50,0,36,0.72
6,Chicago Suburb,890,21.4,"Chicago, IL",0.301,0.21,6,50,0,34,0.68
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.283,0,14.1,20,0,5,0.25
3,Chicago West,897,23.2,"Chicago, IL",0.072,0,1.4,50,0,38,0.76
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.119,0,5.9,20,0,9,0.45
