user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",5.28,0,176,30,0,21,0.7
7,Manhattan,322,0,"New York, NY",0.022,0,1.1,20,0,10,0.5
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.105,0,5.2,20,0,10,0.5
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.225,0,11.3,20,0,8,0.4
5,Chicago East,874,1.8,"Chicago, IL",4.88,0,162,30,0,20,0.667
8,Newark,309,14.3,"New York, NY",0.028,0,1.4,20,0,8,0.4
4,Chicago South,873,16.8,"Chicago, IL",5.21,0,174,30,0,19,0.633
2,Chicago North,883,19.2,"Chicago, IL",6.06,0,202,30,0,22,0.733
6,Chicago Suburb,890,21.4,"Chicago, IL",6.02,0,201,30,0,24,0.8
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.173,0,8.6,20,0,11,0.55
3,Chicago West,897,23.2,"Chicago, IL",5.33,0,178,30,0,19,0.633
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.139,0,6.9,20,0,7,0.35
