user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",6.08,0,202,30,0,22,0.733
7,Manhattan,322,0,"New York, NY",0.021,0,1.1,20,0,11,0.55
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.095,0,4.7,20,0,11,0.55
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.152,0,7.6,20,0,12,0.6
5,Chicago East,874,1.8,"Chicago, IL",5.67,0,189,30,0,18,0.6
8,Newark,309,14.3,"New York, NY",0.03,0,1.5,20,0,7,0.35
4,Chicago South,873,16.8,"Chicago, IL",6.11,0,204,30,0,22,0.733
2,Chicago North,883,19.2,"Chicago, IL",5.49,0,183,30,0,19,0.633
6,Chicago Suburb,890,21.4,"Chicago, IL",5.99,0,200,30,0,23,0.767
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.136,0,6.8,20,0,13,0.65
3,Chicago West,897,23.2,"Chicago, IL",5.58,0,186,30,0,20,0.667
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.119,0,6,20,0,9,0.45
