user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",5.46,0,182,30,0,22,0.733
7,Manhattan,322,0,"New York, NY",0.028,0,1.4,20,0,7,0.35
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.115,0,5.7,20,0,9,0.45
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.152,0,7.6,20,0,12,0.6
5,Chicago East,874,1.8,"Chicago, IL",6.01,0,200,30,0,19,0.633
8,Newark,309,14.3,"New York, NY",0.019,0,0.9,20,0,13,0.65
4,Chicago South,873,16.8,"Chicago, IL",6.08,0,203,30,0,19,0.633
2,Chicago North,883,19.2,"Chicago, IL",5.45,0,182,30,0,22,0.733
6,Chicago Suburb,890,21.4,"Chicago, IL",5.48,0,183,30,0,17,0.567
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.246,0,12.3,20,0,7,0.35
3,Chicago West,897,23.2,"Chicago, IL",5.47,0,182,30,0,20,0.667
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.109,0,5.5,20,0,10,0.5
