user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",5.98,0,199,30,0,21,0.7
7,Manhattan,322,0,"New York, NY",0.021,0,1.1,20,0,11,0.55
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.115,0,5.7,20,0,9,0.45
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.189,0,9.4,20,0,10,0.5
5,Chicago East,874,1.8,"Chicago, IL",5.93,0,198,30,0,19,0.633
8,Newark,309,14.3,"New York, NY",0.024,0,1.2,20,0,10,0.5
4,Chicago South,873,16.8,"Chicago, IL",5.96,0,199,30,0,26,0.867
2,Chicago North,883,19.2,"Chicago, IL",5.29,0,176,30,0,18,0.6
6,Chicago Suburb,890,21.4,"Chicago, IL",6.09,0,203,30,0,21,0.7
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.154,0,7.7,20,0,12,0.6
3,Chicago West,897,23.2,"Chicago, IL",5.69,0,190,30,0,22,0.733
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.099,0,4.9,20,0,11,0.55
