user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.214,0,7.1,30,0,12,0.4
7,Manhattan,322,0,"New York, NY",0.275,0,13.8,20,0,16,0.8
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.144,0,7.2,20,0,6,0.3
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.245,0,12.2,20,0,7,0.35
5,Chicago East,874,1.8,"Chicago, IL",0.068,0,2.3,30,0,17,0.567
8,Newark,309,14.3,"New York, NY",0.035,0,1.8,20,0,4,0.2
4,Chicago South,873,16.8,"Chicago, IL",0.424,0,14.1,30,0,11,0.367
2,Chicago North,883,19.2,"Chicago, IL",0.095,0,3.2,30,0,12,0.4
6,Chicago Suburb,890,21.4,"Chicago, IL",0.047,0,1.6,30,0,22,0.733
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.331,0,16.6,20,0,11,0.55
3,Chicago West,897,23.2,"Chicago, IL",0.874,0,29.1,30,0,6,0.2
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.174,0,8.7,20,0,15,0.75
