user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0,0,0,0,50,0,0
7,Manhattan,322,0,"New York, NY",0,0,0,0,20,0,0
11,Houston Downtown,1.97e+03,0,"Houston, TX",0,0,0,0,20,0,0
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0,0,0,0,20,0,0
5,Chicago East,874,1.8,"Chicago, IL",0,0,0,0,50,0,0
8,Newark,309,14.3,"New York, NY",0,0,0,0,20,0,0
4,Chicago South,873,16.8,"Chicago, IL",0,0,0,0,50,0,0
2,Chicago North,883,19.2,"Chicago, IL",0,0,0,0,50,0,0
6,Chicago Suburb,890,21.4,"Chicago, IL",0,0,0,0,50,0,0
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0,0,0,0,20,0,0
3,Chicago West,897,23.2,"Chicago, IL",0,0,0,0,50,0,0
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0,0,0,0,20,0,0
