user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",6.01,0,200,30,0,24,0.8
7,Manhattan,322,0,"New York, NY",0.025,0,1.3,20,0,9,0.45
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.114,0,5.7,20,0,9,0.45
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.152,0,7.6,20,0,12,0.6
5,Chicago East,874,1.8,"Chicago, IL",5.69,0,190,30,0,19,0.633
8,Newark,309,14.3,"New York, NY",0.024,0,1.2,20,0,10,0.5
4,Chicago South,873,16.8,"Chicago, IL",6.13,0,204,30,0,20,0.667
2,Chicago North,883,19.2,"Chicago, IL",5.7,0,190,30,0,20,0.667
6,Chicago Suburb,890,21.4,"Chicago, IL",6.03,0,201,30,0,18,0.6
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.265,0,13.3,20,0,6,0.3
3,Chicago West,897,23.2,"Chicago, IL",5.9,0,197,30,0,12,0.4
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.129,0,6.5,20,0,8,0.4
