user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.576,0.471,11.5,50,0,30,0.6
7,Manhattan,322,0,"New York, NY",0.092,0.065,4.6,20,0,8,0.4
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.18,0.056,9,20,0,8,0.4
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.265,0.058,13.3,20,0,9,0.45
5,Chicago East,874,1.8,"Chicago, IL",0.244,0.177,4.9,50,0,38,0.76
8,Newark,309,14.3,"New York, NY",0.085,0.057,4.2,20,0,8,0.4
4,Chicago South,873,16.8,"Chicago, IL",0.254,0.161,5.1,50,0,33,0.66
2,Chicago North,883,19.2,"Chicago, IL",0.737,0.628,14.7,50,0,30,0.6
6,Chicago Suburb,890,21.4,"Chicago, IL",0.266,0.166,5.3,50,0,32,0.64
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.25,0.058,12.5,20,0,10,0.5
3,Chicago West,897,23.2,"Chicago, IL",0.228,0.145,4.6,50,0,36,0.72
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.167,0.068,8.4,20,0,11,0.55
