user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",6.01,0,200,30,0,18,0.6
7,Manhattan,322,0,"New York, NY",0.021,0,1.1,20,0,11,0.55
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.095,0,4.7,20,0,11,0.55
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.208,0,10.4,20,0,9,0.45
5,Chicago East,874,1.8,"Chicago, IL",6.09,0,203,30,0,20,0.667
8,Newark,309,14.3,"New York, NY",0.024,0,1.2,20,0,10,0.5
4,Chicago South,873,16.8,"Chicago, IL",5.64,0,188,30,0,23,0.767
2,Chicago North,883,19.2,"Chicago, IL",5.85,0,195,30,0,19,0.633
6,Chicago Suburb,890,21.4,"Chicago, IL",5.34,0,178,30,0,18,0.6
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.21,0,10.5,20,0,9,0.45
3,Chicago West,897,23.2,"Chicago, IL",5.72,0,191,30,0,19,0.633
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.119,0,6,20,0,9,0.45
