user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.581,0.533,19.4,30,0,21,0.7
7,Manhattan,322,0,"New York, NY",0.023,0,1.1,20,0,10,0.5
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.105,0,5.2,20,0,10,0.5
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.226,0,11.3,20,0,8,0.4
5,Chicago East,874,1.8,"Chicago, IL",0.243,0.171,8.1,30,0,16,0.533
8,Newark,309,14.3,"New York, NY",0.025,0,1.2,20,0,10,0.5
4,Chicago South,873,16.8,"Chicago, IL",0.225,0.188,7.5,30,0,24,0.8
2,Chicago North,883,19.2,"Chicago, IL",0.078,0.013,2.6,30,0,18,0.6
6,Chicago Suburb,890,21.4,"Chicago, IL",0.535,0.502,17.8,30,0,25,0.833
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.228,0,11.4,20,0,8,0.4
3,Chicago West,897,23.2,"Chicago, IL",0.073,0.025,2.4,30,0,22,0.733
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.079,0,3.9,20,0,13,0.65
