user_id,city,distance_to_origin_km,total_network_time,average_request_time,successful_requests,failed_requests
5,Newark,309,0.334,16.7,20,0
4,Manhattan,322,0.255,12.7,20,0
1,Chicago Downtown,874,0.342,17.1,20,0
2,Chicago North,883,0.3,15,20,0
3,Chicago West,897,0.308,15.4,20,0
9,The Woodlands,1.94e+03,0.48,24,20,0
8,Houston Downtown,1.97e+03,0.474,23.7,20,0
6,LA Downtown,3.64e+03,0.713,35.6,20,0
7,Santa Monica,3.67e+03,0.655,32.7,20,0
