user_id,city,distance_to_origin_km,total_network_time,average_request_time,successful_requests,failed_requests
1,Chicago Downtown,874.3042404739756,0.35761332511901855,0.017880666255950927,20,0
2,Chicago North,882.9448155097875,0.3622441291809082,0.01811220645904541,20,0
3,Chicago West,897.1010521638302,0.4163346290588379,0.020816731452941894,20,0
4,Manhattan,321.98313785743403,0.3070995807647705,0.015354979038238525,20,0
5,Newark,309.3094104276222,0.3468444347381592,0.01734222173690796,20,0
6,LA Downtown,3643.9687815939105,0.7463085651397705,0.037315428256988525,20,0
7,Santa Monica,3666.499254593491,0.727299690246582,0.0363649845123291,20,0
8,Houston Downtown,1965.9704812793464,0.5285773277282715,0.026428866386413574,20,0
9,The Woodlands,1944.6849815121466,0.4836454391479492,0.02418227195739746,20,0
