user_id,city,latitude,longitude,distance_to_origin_km,total_network_time,average_request_time,successful_requests,failed_requests,total_requests
0,"Chicago, IL",41.8781,-87.6298,874.3042404739756,0.32113194465637207,0.03211319446563721,10,0,10
1,"Phoenix, AZ",33.4484,-112.074,3141.6535687120377,0.35598015785217285,0.035598015785217284,10,0,10
2,"San Diego, CA",32.7157,-117.1611,3609.520029841256,0.39980411529541016,0.039980411529541016,10,0,10
3,"Dallas, TX",32.7767,-96.797,1887.3483353355678,0.33109545707702637,0.03310954570770264,10,0,10
4,"Phoenix, AZ",33.4484,-112.074,3141.6535687120377,0.4224536418914795,0.04224536418914795,10,0,10
